Wahlbezirk,Straße,Hausnummern
5201,Behringstr.,ger. 54-94
5201,Bruno-H.-Bürgel-Str.,"ung. 49-71, ger. 54-80"
5201,Donarstr.,17
5201,Filchnerstr.,"ung. 47-59, ger. 42-62"
5201,GA Babelsberg-Nord,alle
5201,GA Klein-Glienicke,alle
5201,Glienicker Winkel,alle
5201,Griebnitzstr.,alle
5201,Hermann-Maaß-Str.,"ung. 49-79, ger. 44-70"
5201,Karl-Marx-Str.,26-35B
5201,Lankestr.,alle
5201,Louis-Nathan-Allee,alle
5201,Mövenstr.,alle
5201,Park Babelsberg,12-14
5201,Rosa-Luxemburg-Str.,13-25
5201,Spitzweggasse,alle
5201,Tannenstr.,alle
5201,Tannenweg,alle
5201,Waldmüllerstr.,alle
5201,Wannseestr.,alle
5201,Wasserstr.,alle
4203,Wilhelm-Leuschner-Str.,alle
4203,Edisonallee,ger. 10-18
4203,Friedrich-List-Str.,8
4203,Hans-Marchwitza-Ring,"ung. 7-29, ger. 8-22"
4203,Karl-Foerster-Str.,alle
4203,Lotte-Pulewka-Str.,ung. 23-63
4203,Max-Volmer-Str.,1-3
4204,Wiesenstr.,"ung. 1-7, 38, 40"
4204,Hans-Marchwitza-Ring,"1, 3, ger. 2-6, ung. 53-55"
4204,Humboldtring,"ger. 2-10, ger. 14-30"
4204,Lotte-Pulewka-Str.,"ung. 11-21, ger. 4-8"
4204,Max-Volmer-Str.,4-17
5202,Wiesenstr.,"ung. 11-17, ger. 8-36"
5202,Albert-Einstein-Str.,ung. 1-25
5202,Altes Bahnwerk,alle
5202,Am Stellwerk,alle
5202,Friedhofsgasse,17
5202,Friedrich-Engels-Str.,"1-16, 78-104"
5202,Heinrich-Mann-Allee,"ung. 1-23A, ger. 2-24A,, 107"
5202,Zum Wasserturm,alle
5202,August-Bier-Str.,alle
5202,Baldurstr.,alle
5202,Behringstr.,"ung. 31-91, ger. 26-52"
5202,Bruno-H.-Bürgel-Str.,ung. 17-47
5202,Domstr.,ung. 1-39
5202,Donarstr.,"ung. 1-13, ger. 2-32"
5202,Filchnerstr.,"ung. 13-43, ger. 14-40"
5202,Gertrud-Droste-Platz,alle
5202,Heinestr.,16-26
5202,Hermann-Maaß-Str.,"ung. 3-47B, ger. 2-42"
5202,Herthastr.,alle
